length_of_association,Income,total_amount_spend
101,58138.0,1617.0
83,46344.0,27.0
89,71613.0,776.0
83,26646.0,53.0
84,58293.0,422.0
89,62513.0,716.0
99,55635.0,590.0
93,33454.0,169.0
92,30351.0,46.0
82,18985.5,49.0
99,18985.5,61.0
86,63033.0,1102.0
86,59354.0,310.0
100,18985.5,46.0
98,82800.0,1315.0
97,41850.0,96.0
101,37760.0,317.0
94,76995.0,1778.25
99,33812.0,133.0
102,37040.0,316.0
97,18985.5,1730.0
97,58607.0,972.0
84,65324.0,544.0
94,40689.0,444.0
97,18985.5,75.0
92,53359.0,257.0
92,38360.0,131.0
86,84130.0,1672.0
80,18985.5,30.0
93,38620.0,318.0
100,40548.0,120.0
99,46610.0,302.0
95,68657.0,1196.0
89,49389.0,65.0
85,67353.0,913.0
89,23718.0,81.0
83,42429.0,67.0
96,48948.0,902.0
93,80011.0,1395.0
95,20559.0,53.0
97,21994.0,22.0
88,18985.5,31.0
79,79941.0,984.0
99,18985.5,122.0
92,41728.0,55.0
99,72550.0,1319.0
80,65486.0,507.0
102,79143.0,1693.0
97,35790.0,72.0
79,82582.0,1617.0
91,66373.0,606.0
98,82384.0,1778.25
94,70287.0,1093.0
81,27938.0,29.0
83,55954.0,518.0
91,75777.0,1438.0
101,66653.0,612.0
95,61823.0,884.0
92,67680.0,606.0
86,70666.0,1076.0
92,25721.0,34.0
80,32474.0,22.0
82,84130.0,1274.0
88,69096.0,653.0
94,74854.0,1562.0
101,66991.0,1253.0
94,65031.0,863.0
94,60631.0,661.0
81,28332.0,65.0
97,40246.0,22.0
101,75251.0,1778.25
100,75825.0,1778.25
89,26326.0,22.0
97,56046.0,692.0
101,29760.0,165.0
91,26304.0,22.0
91,23559.0,79.0
93,38620.0,318.0
83,81361.0,778.0
89,29440.0,56.0
90,36138.0,151.0
80,50388.0,372.0
80,79593.0,1366.0
84,54178.0,194.0
82,42394.0,32.0
80,23626.0,43.0
80,30096.0,45.0
98,47916.0,606.0
94,51813.0,63.0
86,78497.0,978.0
91,50150.0,410.0
90,47823.0,72.0
82,34554.0,55.0
93,84130.0,1169.0
92,65846.0,1120.0
80,84130.0,1097.0
85,24594.0,29.0
88,49096.0,187.0
96,52413.0,910.0
97,38557.0,145.0
98,84130.0,850.0
87,77298.0,969.0
99,68126.0,1778.25
79,57288.0,608.0
97,84130.0,730.0
98,43974.0,551.0
88,50785.0,114.0
84,84130.0,1724.0
95,36550.0,577.0
91,30753.0,81.0
86,21918.0,33.0
91,56129.0,660.0
83,32557.0,80.0
89,19510.0,30.0
93,30992.0,43.0
95,84130.0,1135.0
95,71488.0,559.0
93,79607.0,1778.25
79,54348.0,90.0
80,77376.0,661.0
88,62998.0,463.0
95,61331.0,632.0
83,73448.0,725.0
89,41551.0,279.0
94,62981.0,1482.0
102,18985.5,29.0
91,33762.0,106.0
80,35860.0,49.0
90,36921.0,38.0
99,84130.0,1778.25
86,65104.0,1053.0
93,84130.0,1385.0
89,68352.0,871.0
94,41883.0,312.0
99,59809.0,877.0
99,23957.0,68.0
89,38547.0,22.0
101,35688.0,211.0
79,49605.0,127.0
81,59354.0,459.0
83,65747.0,460.0
97,46344.0,429.0
80,34176.0,89.0
100,61010.0,1021.0
95,69372.0,1381.0
91,49967.0,306.0
88,60199.0,22.0
87,55375.0,162.0
89,80317.0,1231.0
91,30523.0,22.0
99,70356.0,1706.0
85,23228.0,121.0
93,74165.0,1293.0
83,84130.0,1608.0
86,43482.0,88.0
86,62551.0,421.0
89,52332.0,259.0
87,66951.0,1117.0
83,26091.0,89.0
81,33456.0,36.0
90,28718.0,57.0
81,50447.0,148.0
84,53537.0,93.0
82,52074.0,119.0
101,80427.0,1778.25
97,83837.0,1318.0
80,38853.0,45.0
79,38285.0,22.0
86,78497.0,978.0
80,51650.0,191.0
80,18985.5,57.0
88,66835.0,1033.0
84,30477.0,66.0
79,28249.0,43.0
98,25271.0,50.0
83,32303.0,39.0
90,61286.0,608.0
94,74068.0,1581.0
95,45759.0,68.0
101,24882.0,80.0
92,66973.0,1282.0
88,36640.0,65.0
92,38872.0,91.0
95,51148.0,315.0
85,31353.0,31.0
80,69661.0,834.0
88,80067.0,1600.0
96,84130.0,1270.0
82,46854.0,263.0
79,69142.0,535.0
85,75922.0,1295.0
87,63693.0,1150.0
99,84130.0,1240.0
