Product,Unnamed: 0.1,Unnamed: 0,Quantity Ordered,Price Each,Month,Sales,DayofWeek,Hour
20in Monitor,18786899327,13838504716.0,28903,3157482.9299999997,205352,3179040.9699999997,85596,411348
27in 4K Gaming Monitor,28526270633,21011394096.0,43708,17007463.900000002,311080,17045682.92,129864,636412
27in FHD Monitor,34381023579,25324200883.0,52850,7881824.510000001,367906,7926971.500000001,158725,752780
34in Ultrawide Monitor,28249252052,20800203754.0,43393,16441027.33,303128,16488906.07,130333,623532
AA Batteries (4-pack),94215769872,69392921616.0,193445,553109.76,1018906,742828.7999999999,430276,2088394
AAA Batteries (4-pack),94498921482,69600102945.0,217119,432016.13,1024590,649185.81,428540,2081324
Apple Airpods Headphones,71188132827,52432287088.0,109627,16326450.0,766339,16444050.0,325248,1563128
Bose SoundSport Headphones,61007367512,44934575891.0,94199,9326567.25,658791,9418958.01,283192,1347115
Flatscreen TV,21947835658,16161674283.0,33733,10080000.0,239568,10119900.0,100100,481705
Google Phone,25247910716,18589250982.0,38724,23205000.0,268135,23234400.0,116515,556353
LG Dryer,2933771260,2158053566.0,4522,2713200.0,30681,2713200.0,13741,65282
LG Washing Machine,3046786750,2243489408.0,4662,2797200.0,31661,2797200.0,13776,68495
Lightning Charging Cable,99156621466,73033049563.0,162519,2266509.6999999997,1071644,2429659.05,455728,2187703
Macbook Pro Laptop,21650160637,15949197224.0,33096,56215600.0,234836,56263200.0,98658,477827
ThinkPad Laptop,18900006300,13920704596.0,28910,28895711.04,202650,28909710.9,86464,418222
USB-C Charging Cable,100360306480,73928119654.0,167825,1832185.95,1083733,2005508.7499999998,457394,2202515
Vareebadd Phone,9420136082,6934375354.0,14476,5782000.0,100163,5790400.0,43064,206304
Wired Headphones,86447168983,63669901254.0,143899,1584766.26,933779,1725349.01,394737,1902040
iPhone,31286959123,23038587926.0,47943,33525800.0,335587,33560100.0,141911,690599
